Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
8318,F,1733,LFRG,GMMN,AOM404M  ,Z,LJ45   ,Z  ,CNTMV    ,,240321,AA57078588,,,,,,,02019A,,AOM404M,IX ,LJ45/M,SDFGHIRWYZ/HB1 ,LFRG1630 ,N0451F290 LGL UT176 PEPON/N0426F410 UT176 TERPO UN872 ERIGA UZ218 FUJTI DCT PEPET DCT BAKUP DCT BATAX DCT PORTA DCT ALAGU DCT AMSEL UR722 LAKAM ,GMMN0231 GMME ,"DAT/CPDLCX DOF/240321 EET/LECM0052 LPPC0116 LECM0123 LPPC0124 LECM0134 LPPC0137 GMMM0206 OPR/AIR OCEAN MAROC ORGN/EKODFFLX REG/CNTMV RMK/IFPSRA STS/HOSP)
",TAFF,False,1740.0,02019A,LJ45
8321,F,713,LFBD,LFLY,ARL505   ,Z,C501   ,Z  ,FHFRA    ,,240321,AA57078563,,,,,,,399620,,ARL505,IN ,C501/L,SBDFGRWYZ/S ,LFBD0700 ,N0379F190 SAU/N0379F280 DCT SECHE DCT NARAK DCT DITEV DCT MEN/N0379F260 DCT NINUN UN871 MEZIN ,LFLY0048 LFLL LFLS ,"DAT/CPDLCX DOF/240321 IFP/MODESASP OPR/AIRLEC AIR ESPACE ORGN/KAUSZXBT REG/FHFRA RMK/CREW CONTACT 0033671519537 FILED BY 00441273782130)
",MERI,False,713.0,399620,C501
8322,F,1633,LFLY,LFBD,ARL505   ,Z,C501   ,Z  ,FHFRA    ,,240321,AA57105049,,,,,,,399620,,ARL505,IN ,C501/L,SBDFGRWYZ/S ,LFLY1615 ,N0379F280 BELEP UP860 TIS DCT LMG ,LFBD0045 LFBO ,"DAT/CPDLCX DOF/240321 EET/LFBB0017 IFP/MODESASP OPR/AIRLEC AIR ESPACE ORGN/KAUSZXBT REG/FHFRA RMK/CREW CONTACT 0033671519537 FILED BY 00441273782130)
",LYON,False,1620.0,399620,C501
8323,F,1429,LFBD,DAAT,ARL915   ,Z,H25C   ,Z  ,FHMED    ,,240321,AA57101460,,,,,,,39B083,,ARL915,IX ,H25C/M,SDFGHRWXYZ/S ,LFBD1345 ,N0419F370 SAU DCT SECHE DCT AGN DCT PUMAL N859 MOGIL UB31 ZEM UM989 ABSAL UB726 CHLAL UM989 BSA UB726 KAHIL UM989 BERIA UB726 GHA UA615 TMS ,DAAT0328 DAAJ ,"DAT/CPDLCX DOF/240321 EET/LECB0030 DAAA0108 OPR/AIRLEC AIR ESPACE ORGN/KAUSZXBT PER/C REG/FHMED RMK/CREW CONTACT 0033670680165 FILED BY 00441273782130 LDG DAAT NR 1977ANACBS2024 STS/MEDEVAC)
",MERI,False,1524.0,39B083,H25C
8324,F,740,LFPB,LFST,ASJ07RE  ,Z,C510   ,Z  ,FHERE    ,,240321,AA57083640,,,,,,,399224,,ASJ07RE,IX ,C510/L,SBDFGRWYZ/LB1 ,LFPB0710 ,N0339F240 LANVI DCT EPL ,LFST0054 LFSB ,"CODE/399224 DAT/CPDLCX DOF/240321 EET/LFEE0044 IFP/MODESASP OPR/ASTONJET ORGN/KFMEXAAR REG/FHERE RMK/IFPSRA LFPB FBO ASTONSKY PHONE 0033185431649 NONRNP10 STS/MEDEVAC SUR/260A)
",CDG,False,740.0,399224,C510
8325,F,808,LFPB,LFST,ASJ07RE  ,Z,C510   ,Z  ,FHERE    ,,240321,AA57083640,,,,,,,399224,,nan,nan,nan,nan,nan,nan,nan,nan,PARI,False,740.0,399224,C510
8326,F,1316,LFST,LFPB,ASJ07RE  ,Z,C510   ,Z  ,FHERE    ,,240321,AA57083912,,,,,,,399224,,nan,nan,nan,nan,nan,nan,nan,nan,PARI,False,1234.0,399224,C510
8327,F,829,LFPB,LFST,ASJ09BF  ,Z,C510   ,Z  ,FHIBF    ,,240321,AA57084433,,,,,,,39A025,,ASJ09BF,IX ,C510/L,SBDFGRWYZ/LB1 ,LFPB0815 ,N0339F240 LANVI DCT EPL ,LFST0051 LFPB ,"CODE/39A025 DAT/CPDLCX DOF/240321 EET/LFEE0038 IFP/MODESASP OPR/ASTONJET ORGN/KFMEXAAR REG/FHIBF RMK/IFPSRA LFPB FBO ASTONSKY ORGAN TRANSPLANT FLIGHT PHONE 0033185431649 NONRNP10 STS/MEDEVAC SUR/260B)
",CDG,False,829.0,39A025,C510
8328,F,1351,LFST,LFPB,ASJ09BF  ,Z,C510   ,Z  ,FHIBF    ,,240321,AA57084611,,,,,,,39A025,,ASJ09BF,IX ,C510/L,SBDFGRWYZ/LB1 ,LFST1130 ,N0340F230 POGOL R11 EPL ,LFPB0118 LFPG ,"CODE/39A025 DAT/CPDLCX DOF/240321 EET/LFFF0004 IFP/MODESASP OPR/ASTONJET ORGN/KFMEXAAR REG/FHIBF RMK/IFPSRA LFPB FBO ASTONSKY ORGAN TRANSPLANT FLIGHT PHONE 0033185431649 NONRNP10 STS/MEDEVAC SUR/260B)
",STBG,False,1330.0,39A025,C510
8329,F,1503,LFPB,LSGG,ASJ10LY  ,Z,C510   ,Z  ,FHILY    ,,240321,AA57103075,,,,,,,39A178,,ASJ10LY,IN ,C510/L,SBCDFGRWYZ/LB1 ,LFPB1440 ,N0331F230 PILUL DCT PIMUP DCT PIXIS DCT PIBAT DCT LUSAR ,LSGG0058 LFLL ,"CODE/39A178 DAT/CPDLCX DOF/240321 EET/LFMM0047 LSAS0057 IFP/MODESASP OPR/ASTONJET REG/FHILY RMK/LFPB FBO ASTONSKY IFPSRA ASLLSGG032116203A PHONE 0033185431649 NONRNP10 SUR/260B)
",CDG,False,1503.0,39A178,C510
8340,F,938,LFPG,LYBE,ASL94K   ,Z,A319   ,Z  ,YUAPB    ,,240321,AA57083131,,,,,,,4C01E1,,ASL94K,IS ,A319/M,SDE2E3FGHIJ1LORVWY/HB1 ,LFPG0900 ,N0444F340 RANUX UN858 LIPNI/N0445F350 UN858 LIMGO DCT BITBU DCT NOSPA DCT ULNOK DCT VIBOM DCT NOMBO DCT RIDAR DCT GOMIG DCT GOTAR DCT BABIT DCT RIGMU ,LYBE0213 LYPG ,"CODE/4C01E1 DOF/240321 EET/EBUR0029 EDUU0033 LOVV0112 LHCC0131 LYBA0147 OPR/AIR SERBIA ORGN/EDDFASLX PER/C REG/YUAPB RMK/TCAS, ASL OCC 00381112098360, SCHEDULED PASSENGER FLIGHT RVR/075 SEL/BQEH SUR/260B)
",CDG,False,938.0,4C01E1,A319
8341,F,730,LFPM,EBAW,ASR237   ,Z,BE20   ,Z  ,FGJFE    ,,240321,AA57093199,,,,,,,3924A4,,ASR237,ZX ,BE20/L,SBDGRY/L ,LFPM0700 ,N0250VFR CMB/N0245F120 IFR N874 VEKIN Z173 ARVOL ,EBAW0045 EBKT ,"DOF/240321 EET/EBBU0032 CMB0026 ORGN/KAUSZXBT REG/FGJFE RMK/CREW CONTACT 0033628760599 FILED BY 00441273782130)
",SEIN,False,716.0,3924A4,BE20
8348,F,1505,LFPG,LOWW,AUA416C  ,Z,A320   ,Z  ,OELBL    ,,240321,AA57096702,,,,,,,440668,,AUA416C,IS ,A320/M,SDE2E3FGHIJ1RWXY/LB1 ,LFPG1435 ,N0440F390 LANVI DCT BEGAR DCT TRA DCT GAMSA DCT TULSI DCT INPUL DCT NEMAL NEMAL2W ,LOWW0141 LZIB ,"CODE/440668 DOF/240321 EET/EDUU0034 LSAS0038 LOVV0046 EDUU0049 LOVV0052 EDUU0053 LOVV0106 LHCC0131 LOVV0132 IFP/MODESASP OPR/AUA ORGN/EDDFAUAX PER/C REG/OELBL RMK/TCAS RVR/075 SEL/CRGL SUR/A2)
",CDG,False,1506.0,440668,A320
8352,F,1405,LFMN,LOWW,AUA426   ,Z,A320   ,Z  ,OELZA    ,,240321,AA57095474,,,,,,,440608,,AUA426,IS ,A320/M,SDE2E3FGHIJ1RWXY/LB1 ,LFMN1405 ,N0343F180 BASIP Y15 ANAKI/N0435F370 DCT KALIK DCT ARALD DCT ABTAN ABTAN2W ,LOWW0124 LZIB ,"CODE/440608 DOF/240321 EET/LIMM0005 LOVV0046 LHCC0114 LOVV0115 IFP/MODESASP OPR/AUA ORGN/EDDFAUAX PER/C REG/OELZA RMK/TCAS RVR/075 SEL/GRKM SUR/A2)
",NICE,False,1436.0,440608,A320
8353,F,622,LFPG,LOWW,AUA42DW  ,Z,A320   ,Z  ,OELZD    ,,240321,AA57085044,,,,,,,440605,,AUA42DW,IS ,A320/M,SDE2E3FGHIJ1RWXY/LB1 ,LFPG0610 ,N0433F370 LANVI DCT BEGAR DCT TRA DCT GAMSA DCT TULSI DCT INPUL/N0421F350 DCT NEMAL NEMAL2W ,LOWW0136 LZIB ,"CODE/440605 DOF/240321 EET/EDUU0032 LSAS0036 LOVV0044 EDUU0046 LOVV0049 EDUU0050 LOVV0102 LHCC0125 LOVV0127 IFP/MODESASP OPR/AUA ORGN/EDDFAUAX PER/C REG/OELZD RMK/TCAS RVR/075 SEL/LPKQ SUR/A2)
",CDG,False,622.0,440605,A320
8358,F,1930,LFSB,LOWW,AUA474T  ,Z,E195   ,Z  ,OELWB    ,,240321,AA57101773,,,,,,,44081E,,AUA474T,IS ,E195/M,SDE2E3FGIJ1RWY/LB1 ,LFSB1925 ,N0426F310 ELBEG Y715 AMRUP N491 DEGES/N0457F350 N871 MADEB N606 ELMEM DCT UMVEG DCT ABTAN ABTAN2W ,LOWW0120 LZIB ,"CODE/44081E DOF/240321 EET/EDGG0004 LSAS0009 LOVV0018 LHCC0108 LOVV0109 IFP/MODESASP OPR/AUA ORGN/EDDFAUAX PER/C REG/OELWB RMK/TCAS RVR/200 SUR/A2)
",BALE,False,1930.0,44081E,E195
8359,F,913,LFSB,LOWW,AUA47B   ,Z,E195   ,Z  ,OELWA    ,,240321,AA57088537,,,,,,,44081D,,AUA47B,IS ,E195/M,SDE2E3FGIJ1RWY/LB1 ,LFSB0910 ,N0393F310 ELBEG Y715 AMRUP N491 DEGES N871 BADVI L725 INPUL DCT NEMAL NEMAL2W ,LOWW0115 LZIB ,"CODE/44081D DOF/240321 EET/EDGG0004 LSAS0009 LOVV0017 EDUU0025 LOVV0037 LHCC0103 LOVV0104 IFP/MODESASP OPR/AUA ORGN/EDDFAUAX PER/C REG/OELWA RMK/TCAS RVR/200 SUR/A2)
",BALE,False,915.0,44081D,E195
8361,F,1147,LFLL,LOWW,AUA4KS   ,Z,E195   ,Z  ,OELWB    ,,240321,AA57091547,,,,,,,44081E,,AUA4KS,IS ,E195/M,SDE2E3FGIJ1RWY/LB1 ,LFLL1150 ,N0427F350 RISOR UT47 GEMLA DCT VANAS DCT MEDAM DCT NITAM DCT MOGBO/N0435F360 DCT BARPI/N0428F350 DCT LAPNA LAPNA2W ,LOWW0135 LZIB ,"CODE/44081E DOF/240321 EET/LFFF0007 LIMM0016 LJLA0051 LIMM0052 LJLA0053 LOVV0106 LHCC0122 LOVV0124 IFP/MODESASP OPR/AUA ORGN/EDDFAUAX PER/C REG/OELWB RMK/TCAS RVR/200 SUR/A2)
",LYON,False,1150.0,44081E,E195
8374,F,1605,LFPB,EGLC,AWU721G  ,Z,C25A   ,Z  ,DIGWT    ,,240321,AA57072574,,,,,,,3E296F,,AWU721G,IN ,C25A/L,SDFGRWYZ/EB1 ,LFPB1600 ,N0386F240 ATREX UT225 VESAN UL613 SOVAT ,EGLC0050 EGMC ,"DAT/CPDLCX DOF/240321 EET/EGTT0027 OPR/SYLTAIR ORGN/EKBICPUF PER/B REG/DIGWT RMK/OPS CTC 0043523820505 CALLSIGN SYLTAIR RVR/550)
",CDG,False,1605.0,3E296F,C25A
8378,F,2058,LFPB,DNMM,AXY534F  ,Z,E190   ,Z  ,9HFAY    ,,240321,AA57087016,,,,,,,4D2469,,AXY534F,IN ,E190/M,SDE1E2E3FGHIJ1J3J4J7P2RUWXYZ/SB2D1 ,LFPB2000 ,N0457F330 OLZOM DCT ERIXU DCT ETAMO DCT ADEKA DCT MOKDI DCT MEN DCT BADAM/N0456F340 DCT KANIG/N0451F330 N855 POS L129 MJV N861 SADAF UA29 CHE/N0452F340 UA29 BAY/N0453F350 A604 MNA/N0452F340 B726 KSOUR/N0460F360 B726 NSL G859 ROFER UG859 BAKAB G859 OG/N0454F370 R983 PAMPA/N0455F390 R983 LM L433 TYE TYE1N ,DNMM0640 DNMN ,"CODE/4D2469 DAT/CPDLCX DOF/240321 EET/LECB0053 DAAA0131
",CDG,False,2058.0,4D2469,E190
8382,F,1126,LFLY,EDDM,AZE21AT  ,Z,E50P   ,Z  ,DIAAW    ,,240321,AA57075343,,,,,,,3E175E,,AZE21AT,IN ,E50P/L,SBDFGRWYZ/LB2 ,LFLY1050 ,N0355F180 ALURA A6 DJL B37 KASON G21 RLP/N0360F190 G4 HOC/N0356F180 L856 TRA/N0362F190 N491 ZUE/N0357F180 Z163 BODAN/N0361F190 Z163 NUNRI T103 DISUN/N0372F210 T103 BETOS BETOS1B ,EDDM0126 EDDS ,"DAT/CPDLCX DOF/240321 EET/LFEE0016 LFEE0050 LSAS0050 LSAS0050 EDMM0103 EDMM0105 LOVV0105 IFP/MODESASP NAV/SBAS RAIM OPR/AZE ORGN/EKBICPUF REG/DIAAW RMK/ASLEDDM1903247064 IFPSRA RVR/400)
",LYON,False,1345.0,3E175E,E50P
8384,F,1840,LFPB,EGHQ,AZE43TW  ,Z,E50P   ,Z  ,DIAAW    ,,240321,AA57075714,,,,,,,3E175E,,AZE43TW,IN ,E50P/L,SBDFGRWYZ/LB2 ,LFPB1830 ,N0367F370 EVX UT176 BUSUK/N0385F340 UN160 JSY DCT LIZAD DCT LND ,EGHQ0116 EGFF ,"DAT/CPDLCX DOF/240321 EET/LFRR0030 EGTT0056 NAV/SBAS RAIM OPR/AZE ORGN/EKBICPUF REG/DIAAW RMK/LFPB HDLG JETEX IFPSRA RVR/400)
",CDG,False,1840.0,3E175E,E50P
8386,F,2101,LFPB,LIML,AZE61UX  ,Z,E50P   ,Z  ,DIAAY    ,,240321,AA57104735,,,,,,,3E1760,,AZE61UX,IN ,E50P/L,SBDFGRWYZ/HB2 ,LFPB2045 ,N0391F310 BUBLI UG42 LUVAL DCT BEGAR DCT ODINA ,LIML0114 LIMC ,"DAT/CPDLCX DOF/240321 EET/LFEE0029 EDGG0042 LSAS0045 LIMM0059 IFP/MODESASP NAV/SBAS RAIM OPR/AZE ORGN/EKBICPUF REG/DIAAY RMK/LFPB HDLG JETEX IFPSRA RVR/400)
",CDG,False,2101.0,3E1760,E50P
8390,F,1132,LFPO,SBKP,AZU8701  ,Z,A339   ,Z  ,PRANY    ,,240321,AA57095831,,,,,,,E4941B,,AZU8701,IS ,A339/H,SDE2E3FGHIJ1J4J5P2RWXYZ/LB1D1G1 ,LFPO1100 ,N0456F310 LGL UT176 TERPO UN872 ERIGA UN741 AZFIC/N0469F350 DCT LOTEE/N0467F370 DCT AGADO DCT NELSO DCT ROSTA N741 EDUMO/M082F370 UN741 GAMBA/M082F380 UN741 KEPAS/M082F380 UN741 JOBER/M082F380 UN741 UBNIV/N0480F380 UN741 ERUGU UZ61 USVOL UZ30 ENTIT VURAV2A ,SBKP1113 SBCF ,"CODE/E4941B DAT/1FANSE2PDC DOF/240321 EET/LFRR0028 LFFF0030 LECM0107 LPPC0133 LPPO0258 GCCC0259 GVSC0412 GO
",ORL,False,1132.0,E4941B,A339
8391,F,1253,LFSB,LFSB,BAH5     ,Z,GLF5   ,Z  ,A9CSL    ,,240321,AA57096537,,,,,,,894060,,BAH5,IX ,GLF5/M,SABDE3FGHIJ3J4J5J7M1M3P2RWXYZ/LB1D1 ,LFSB1300 ,N0421F410 ELBEG Y715 HEUSE N851 TEDGO T716 DENEL T715 RIGVI DCT ,LFSB0047 LSZH ,"CODE/894060 DAT/CPDLCX 1FANS2PDC DOF/240321 EET/EDGG0002 LFEE0030 LSAS0039 LFEE0047 IFP/MODESASP OPR/BAHRAIN ROYAL FLIGHT ORGN/ZRHAA8X REG/A9CSLM RMK/RTECOORATC WITH LFSB TWR ACC LANGEN SOUTH ACC KARLSRUHE ACC REIMS SEL/PSFL SUR/260B RSP180)
",BALE,False,1256.0,894060,
8393,F,1632,LFML,EGLL,BAW13MR  ,Z,A319   ,Z  ,GEUOA    ,,240321,AA57090022,,,,,,,400936,,BAW13MR,IS ,A319/M,SDE3FGIJ1KRWXY/LB1 ,LFML1610 ,N0445F380 ETREK UM976 MOPEM DCT CACHI DCT AVLON UM976 BRY UM733 KOPOR UM976 ABNUR UT10 ALESO ,EGLL0122 EGSS ,"CODE/400936 DOF/240321 EET/LFFF0007 EGTT0110 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUOA RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/MSCG)
",MARS,False,1627.0,400936,A319
8397,F,1059,LFML,EGLL,BAW16MT  ,Z,A319   ,Z  ,GEUPK    ,,240321,AA57084151,,,,,,,40087A,,BAW16MT,IS ,A319/M,SDE3FGIJ1KRWXY/LB1 ,LFML1050 ,N0437F380 ETREK UM976 MOPEM DCT CACHI DCT AVLON UM976 BRY UM733 KOPOR UM976 ABNUR UT10 ALESO ,EGLL0123 EGSS ,"CODE/40087A DOF/240321 EET/LFFF0007 EGTT0111 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUPK RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/BFHQ)
",MARS,False,1056.0,40087A,A319
8414,F,1103,LFPG,EGLL,BAW309   ,Z,A319   ,Z  ,GEUPP    ,,240321,AA57083973,,,,,,,4008B1,,BAW309,IS ,A319/M,SDE3FGIJ1KRWXY/LB1 ,LFPG1040 ,N0371F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0033 EGSS ,"CODE/4008B1 DOF/240321 EET/EGTT0020 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUPP RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/EPGL)
",CDG,False,1103.0,4008B1,A319
8415,F,943,LFPG,EGLL,BAW30N   ,Z,A320   ,Z  ,GMIDO    ,,240321,AA57082567,,,,,,,4009F9,,BAW30N,IS ,A320/M,SDFGHIJ1RWXY/SB1 ,LFPG0935 ,N0354F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0036 EGSS ,"CODE/4009F9 DOF/240321 EET/EGTT0021 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GMIDO RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/QRCH)
",CDG,False,943.0,4009F9,A320
8416,F,637,LFPG,EGLL,BAW30T   ,Z,A319   ,Z  ,GDBCG    ,,240321,AA57074241,,,,,,,400D5A,,BAW30T,IS ,A319/M,SDE2E3FGHIJ1RWXY/SB1 ,LFPG0600 ,N0357F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0034 EGSS ,"CODE/400D5A DOF/240321 EET/EGTT0020 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GDBCG RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/KSFJ)
",CDG,False,637.0,400D5A,A319
8418,F,1555,LFPG,EGLL,BAW315   ,Z,A20N   ,Z  ,GTTNB    ,,240321,AA57087176,,,,,,,      ,,BAW315,IS ,A20N/M,SDGIJ1LRWXY/SB1 ,LFPG1400 ,N0345F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0034 EGSS ,"CODE/407463 DOF/240321 EET/EGTT0021 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GTTNB RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/KSHP)
",CDG,False,1818.0,407463,A20N
8419,F,1817,LFPG,EGLL,BAW315   ,Z,A20N   ,Z  ,GTTNB    ,,240321,AA57087176,,,,,,,      ,,BAW315,IS ,A20N/M,SDGIJ1LRWXY/SB1 ,LFPG1750 ,N0345F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0034 EGSS ,"CODE/407463 DOF/240321 EET/EGTT0021 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWD PER/C REG/GTTNB RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/KSHP SRC/RQP)
",CDG,False,1818.0,407463,A20N
8420,F,1531,LFPG,EGLL,BAW319A  ,Z,A320   ,Z  ,GEUYX    ,,240321,AA57089067,,,,,,,406B62,,BAW319A,IS ,A320/M,SDE3FGIJ1KRWXY/SB1 ,LFPG1515 ,N0413F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0033 EGSS ,"CODE/406B62 DOF/240321 EET/EGTT0019 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUYX RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/GPDF)
",CDG,False,1531.0,406B62,A320
8421,F,1725,LFPG,EGLL,BAW323V  ,Z,A320   ,Z  ,GEUUC    ,,240321,AA57091021,,,,,,,40097E,,BAW323V,IS ,A320/M,SDE3FGHIJ1KRWXY/SB1 ,LFPG1705 ,N0374F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0034 EGSS ,"CODE/40097E DOF/240321 EET/EGTT0020 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUUC RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/BDEM)
",CDG,False,1725.0,40097E,A320
8423,F,2002,LFPG,EGLL,BAW327X  ,Z,A320   ,Z  ,GEUUX    ,,240321,AA57094917,,,,,,,405A46,,BAW327X,IS ,A320/M,SDE3FGIJ1KRWXY/SB1 ,LFPG1940 ,N0420F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0033 EGSS ,"CODE/405A46 DOF/240321 EET/EGTT0019 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUUX RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/ADBK)
",CDG,False,2002.0,405A46,A320
8424,F,917,LFPG,EGLL,BAW32PG  ,Z,A21N   ,Z  ,GNEOX    ,,240321,AA57081995,,,,,,,40780D,,BAW32PG,IS ,A21N/M,SDE3FGIJ1LRWXYZ/SB1G1 ,LFPG0910 ,N0347F240 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0033 EGSS ,"CODE/40780D DOF/240321 EET/EGTT0021 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GNEOX RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/FLEP)
",CDG,False,917.0,40780D,A21N
8425,F,1525,LFMN,EGLL,BAW33CE  ,Z,A319   ,Z  ,GEUPR    ,,240321,AA57088573,,,,,,,4008B2,,BAW33CE,IS ,A319/M,SDE3FGIJ1KRWXY/LB1 ,LFMN1445 ,N0447F380 BADOD UZ12 BULOL UM733 IDAVO DCT BAGBI DCT SIZZA UM733 KOPOR UM976 ABNUR UT10 ALESO ,EGLL0127 EGSS ,"CODE/4008B2 DOF/240321 EET/LFFF0007 EGTT0115 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUPR RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/ESGL)
",NICE,False,1453.0,4008B2,A319
8426,F,728,LFMN,EGLL,BAW341   ,Z,A319   ,Z  ,GEUPU    ,,240321,AA57074800,,,,,,,4008B5,,BAW341,IS ,A319/M,SDE3FGIJ1RWXY/LB1 ,LFMN0630 ,N0433F380 BADOD UZ12 BULOL UM733 IDAVO DCT BAGBI DCT SIZZA UM733 KOPOR UM976 ABNUR UT10 ALESO ,EGLL0129 EGSS ,"CODE/4008B5 DOF/240321 EET/LFFF0007 EGTT0117 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUPU RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/FRGL)
",NICE,False,657.0,4008B5,A319
8428,F,1150,LFMN,EGLL,BAW343E  ,Z,A320   ,Z  ,GEUUS    ,,240321,AA57084744,,,,,,,40123F,,BAW343E,IS ,A320/M,SDE3FGIJ1KRWXY/SB1 ,LFMN1120 ,N0442F360 BADOD UZ12 BULOL UM733 IDAVO DCT BAGBI/N0441F380 DCT SIZZA UM733 KOPOR UM976 ABNUR UT10 ALESO ,EGLL0130 EGSS ,"CODE/40123F DOF/240321 EET/LFFF0008 EGTT0116 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUUS RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/BDGL)
",NICE,False,1118.0,40123F,A320
8429,F,1443,LFMN,EGLL,BAW347N  ,Z,A20N   ,Z  ,GTTND    ,,240321,AA57086641,,,,,,,407534,,BAW347N,IS ,A20N/M,SDGIJ1LRWXY/SB1 ,LFMN1315 ,N0443F380 BADOD UZ12 BULOL UM733 IDAVO DCT BAGBI DCT SIZZA UM733 KOPOR UM976 ABNUR UT10 ALESO ,EGLL0127 EGSS ,"CODE/407534 DOF/240321 EET/LFFF0006 EGTT0116 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GTTND RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/CFLP)
",NICE,False,1430.0,407534,A20N
8436,F,1751,LFLL,EGLL,BAW365   ,Z,A320   ,Z  ,GEUYK    ,,240321,AA57091859,,,,,,,40649F,,BAW365,IS ,A320/M,SDE3FGIJ1KRWXY/S ,LFLL1740 ,N0424F380 BUSIL DCT AMORO DCT MOMIL DCT BAGBI DCT SIZZA UM733 KOPOR UM976 ABNUR UT10 ALESO ,EGLL0106 EGSS ,"CODE/40649F DOF/240321 EET/LFFF0007 EGTT0052 NAV/RNVD1E2A1 RNP2 OPR/BAW ORGN/EGLLBAWH PER/C REG/GEUYK RMK/LAHSO NOT AUTHORISED DSP CTC +442085130455 EGLLBAWC LHRWYBA TCAS PAX FLT RVR/075 SEL/DHJL)
",LYON,False,1750.0,40649F,A320
