Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
0017,F,1838,LFLB,LIMC,AAB75P   ,Z,GL5T   ,Z  ,OOWLP    ,,240320,AA57078527,,,,,,,44DD90,,AAB75P,IN ,GL5T/M,SBDE1E2E3FGHIJ1J3J4J5P2RWXY/LB2D1G1 ,LFLB1830 ,N0420F230 ESAPI J41 VANAS DCT MEDAM DCT NITAM M730 KODOK Y11 TOP M135 ASTIG ,LIMC0048 LIML LIME ,"CODE/44DD90 DOF/240320 EET/LFFF0005 LIMM0015 IFP/MODESASP OPR/AAB ORGN/EKODFFLX PER/C REG/OOWLP RMK/ACAS II LFLB SLOT DCMF050845 PIC TEL 32 475 70 84 18 SEL/FKAC SUR/RSP180)
",LYON,False,1535.0,44DD90,GL5T
0023,F,1035,LFPG,KJFK,AAL45    ,Z,B772   ,Z  ,N797A    ,,240320,AA57062698,,,,,,,AAD213,,AAL45,IS ,B772/H,SDE1E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1025 ,N0479F300 ATREX UT225 VESAN UL613 SOVAT/N0481F340 L613 TLA DCT ERSON/N0485F360 DCT INNUF DCT ATSIX/M084F370 NATA PIDSO/M084F380 N836A SINGA/N0487F380 DCT UDMAR DCT VOKET DCT OTOVU DCT VODIX DCT PINTE DCT ANTOV DCT KJOHN DCT ALB DCT IGN IGN1 ,KJFK0808 KPHL ,"CODE/AAD213 DAT/CPDLCX 1FANS2PDC DOF/240320 EET/EGTT0023 EGPX0100 EGGX0151 BIRD0212 BGGL0343 CZQX0440 CZUL0514 CZQX0525 CZUL054
",CDG,False,1048.0,AA305F,B772
0025,F,1028,LFPG,KDFW,AAL49    ,Z,B789   ,Z  ,N821A    ,,240320,AA57061893,,,,,,,AB349F,,AAL49,IS ,B789/H,SDE1E3GHIJ1J4J5M1P2RWXYZ/LB1D1 ,LFPG1005 ,N0497F300 ATREX UT225 VESAN UL613 SOVAT/N0483F360 L613 TLA DCT ERSON DCT INNUF DCT ATSIX/M085F370 NATA PIDSO/M085F380 N838A PEPKI/N0492F380 DCT LOPVI DCT YVP DCT HELMO DCT PELEE DCT ANTUR DCT MEBSI DCT STNRD DCT EEGEE DCT BENNR DCT IOW DCT IRK DCT RZC DCT KOMMA DCT RRNET SEEVR4 ,KDFW0949 KAUS ,"CODE/AB349F DAT/1FANSER2PDC DOF/240320 EET/EGTT0021 EGPX0058 EGGX0148 BIRD0208 BGGL0337
",CDG,False,1038.0,AB7FE6,B789
0027,F,837,LFPG,KMIA,AAL63    ,Z,B772   ,Z  ,N759A    ,,240320,AA57061553,,,,,,,AA3B85,,AAL63,IS ,B772/H,SDE1E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG0830 ,N0480F300 ATREX UT225 VESAN UL613 RATUK/N0492F320 UL613 SOVAT L613 TLA/N0488F360 DCT STN DCT BARKU/M085F360 DCT RATSU/M084F360 DCT 63N020W DCT 65N030W DCT 65N040W DCT 63N050W DCT NIFTY/M085F360 N846A MUSLO/N0491F360 DCT MCKEE/N0498F380 DCT MT DCT YXI DCT JHW DCT AIR DCT HVQ DCT NEALS DCT SPA/N0491F370 DCT SAV DCT JEVED/N0490F380 Q97 DEBRL CSTAL2 ,KMIA1001 KFLL ,"CODE/AA3B85 DAT/CPDL
",CDG,False,850.0,AA7439,B772
0031,F,1243,LFPG,KPHL,AAL755   ,Z,B788   ,Z  ,N815A    ,,240320,AA57066935,,,,,,,AB1BF0,,AAL755,IS ,B788/H,SDE1E3GHIJ1J4J5M1P2RWXYZ/LB1D1 ,LFPG1230 ,N0495F300 ATREX UT225 VESAN UL613 SOVAT/N0484F380 L613 TLA DCT EVBEV DCT BALIX/M086F370 NATB URTAK/N0494F400 N746A ALSOP DCT PUVOK DCT MT DCT REEDO DCT ART DCT SYR DCT CFB SPUDS7 ,KPHL0808 KJFK ,"CODE/AB1BF0 DAT/1FANSER2PDC DOF/240320 EET/EGTT0021 EGPX0059 EGGX0143 BIRD0232 CZQX0325 BGGL0350 CZQX0433 CZUL0531 KZNY0734 KZDC0753 NAV/RNVD1E2A1 OPR/AAL ORGN/FTWIDAA REG/N815AA SEL/DRBM
",CDG,False,1236.0,AB10CB,B788
0037,F,423,HKJK,EBLG,ABD332   ,Z,B744   ,Z  ,TFAMP    ,,240320,AA57051239,,,,,,,      ,,ABD332,IS ,B744/H,SDE2E3FGHIJ3J7M3RWXYZ/LB1D1 ,HKJK2100 ,N0510F300 IBRAT3E APKUB UQ293 EKMOG DCT IMPOG DCT SIPKI UT325 BUN UG862 MOLAM/N0509F320 UG862 DIR UB730 IKTAV/N0494F340 UB730 DJA UM2 CSO UR978 KAMER DCT NAFOQ DCT SURJU DCT MAXIR UN853 IRMAR DCT KINES DCT VANAS DCT ESOKO DCT GODRA DCT LOKTA/N0477F330 DCT TEDGO DCT IDOVI Z104 GESLO DCT SPI DCT ,EBLG0837 EBBR ,"CODE/4CC45A DAT/CPDLCX 1FANS2PDC DOF/240319 EET/HUEC0029 FZZA0054 FCCC0136
",ALGR,,nan,nan,
0045,F,1627,LFPG,EDDV,ABR255   ,Z,B738   ,Z  ,EIAZF    ,,240320,AA57071191,,,,,,,4CAD4B,,ABR255,IS ,B738/M,SDFHIRWYZ/H ,LFPG1630 ,N0430F390 RANUX UN858 LIPNI/N0430F390 UN858 LIMGO DCT SOGMI DCT MASEK Z99 ELLUM/N0398F300 Z99 ELNAT P605 WERRA WERRA2P ,EDDV0106 EDDP ,"DAT/CPDLCX DOF/240320 EET/EBUR0021 EDUU0025 EDVV0048 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIAZF RMK/CONTACT 0035318121928 CARGO ONLY RVR/200 SEL/DGPS TALT/EBLG)
",CDG,False,1642.0,4CAD4B,B738
0050,F,251,LFPG,EGPH,ABR2DI   ,Z,AT76   ,Z  ,EIHAB    ,,240320,AA57056960,,,,,,,4CACA1,,ABR2DI,IS ,AT76/M,SDFGRY/S ,LFPG0244 ,N0245F200 ATREX UT225 VESAN UL613 SOVAT/N0246F200 L613 SANDY N57 DET N601 BPK/N0253F220 N601 INPIP ,EGPH0213 EGSS ,"DOF/240320 EET/EGTT0033 EGPX0150 OPR/ABR ORGN/RSYFP5O REG/EIHAB RMK/CONTACT 0035318121928 RVR/300 TALT/EBLG)
",CDG,False,256.0,4CACA1,AT76
0051,F,347,LFPG,LFBO,ABR2LS   ,Z,AT76   ,Z  ,EIHAF    ,,240320,AA57055802,,,,,,,4CAE78,,ABR2LS,IS ,AT76/M,SDFGRY/S ,LFPG0329 ,N0252F210 OLZOM DCT ERIXU DCT ETAMO/N0250F200 DCT GUERE DCT NARAK ,LFBO0142 LFBD ,"DOF/240320 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAF RMK/CONTACT 0035318121928 RVR/300 TALT/EBLG)
",CDG,False,345.0,4CAE78,AT76
0052,F,2154,LFBO,LFPG,ABR3LS   ,Z,AT76   ,Z  ,EIHAF    ,,240320,AA57077102,,,,,,,4CAE78,,ABR3LS,IS ,AT76/M,SDFGRY/S ,LFBO2206 ,N0248F200 FISTO DCT POI/N0247F210 DCT PEPAX/N0244F220 UT182 KEPER ,LFPG0140 EBLG ,"DOF/240320 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAF RMK/CONTACT 0035318121928 RVR/300 TALT/LFBD)
",TOUL,False,2158.0,4CAE78,AT76
0056,F,313,LFPG,LFML,ABR5RS   ,Z,AT76   ,Z  ,EIHAE    ,,240320,AA57057394,,,,,,,4CACA3,,ABR5RS,IS ,AT76/M,SDFGRY/S ,LFPG0254 ,N0253F210 MONOT DCT LAMUT DCT UTUVA/N0248F210 DCT LERGA ,LFML0147 LFMN ,"DOF/240320 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAE RMK/CONTACT 0035318121928 RVR/300 TALT/EBLG)
",CDG,False,309.0,4CACA3,AT76
0057,F,2234,LFML,LFPG,ABR6RS   ,Z,AT76   ,Z  ,EIHAE    ,,240320,AA57076142,,,,,,,4CACA3,,ABR6RS,IS ,AT76/M,SDFGRY/S ,LFML2111 ,N0249F200 ETREK UN854 BULOL/N0246F220 UN854 LOGNI DCT MOKIP DCT ARFOZ UN854 DJL ,LFPG0200 EBLG ,"DOF/240320 IFP/MODESASP OPR/ABR ORGN/RSYFP5O REG/EIHAE RMK/CONTACT 0035318121928 RVR/300 TALT/LFLL)
",MARS,False,2116.0,4CACA3,AT76
0060,F,1226,LFPG,CYUL,ACA871   ,Z,B77W   ,Z  ,CFIVX    ,,240320,AA57065887,,,,,,,C0175A,,ACA871,IS ,B77W/H,SDE3FGHIJ2J3J5M1P2RWXYZ/LB1D1 ,LFPG1155 ,N0487F320 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT GAPLI/M084F320 DCT ATSUR/M085F340 DCT SOMAX/M085F340 NATF JOOPY/N0492F340 N280A MIILS DCT ODBOS OMBRE2 ,CYUL0710 CYYZ ,"CODE/C0175A DAT/CPDLCX 1FANS2PDC DOF/240320 EET/EGTT0041 EGGX0100 CZQX0254 CZQM0554 KZBW0635 CZUL0650 ATSUR0130 SOMAX0135 50N020W0201 50N040W0351 49N050W0455 JOOPY0507 NAV/RNP2 ORGN/CYYZACAW PER/D RALT/EINN CYYR RE
",CDG,False,1224.0,C01A7D,B77W
0062,F,1221,LFPG,CYYZ,ACA873   ,Z,A333   ,Z  ,CGKUG    ,,240320,AA57067474,,,,,,,C0611F,,ACA873,IS ,A333/H,SDE3FGHIJ4J5M1P2RWXYZ/LB1D1 ,LFPG1150 ,N0468F340 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT GAPLI/M082F340 DCT SOMAX/M082F350 NATF JOOPY/N0480F380 N280A MIILS DCT LETAK IMEBA9 ,CYYZ0808 KDTW ,"CODE/C0611F DAT/CPDLCX 1FANS2PDC DOF/240320 EET/EGTT0044 EGGX0103 CZQX0302 CZQM0611 KZBW0652 CZUL0705 CZYZ0742 SOMAX0139 50N020W0207 50N040W0402 49N050W0509 JOOPY0522 NAV/RNP2 ORGN/CYYZACAW PER/D RALT/EINN CYYR REG/CGKUG RMK/TCAS SEL/A
",CDG,False,1518.0,C0583A,A333
0064,F,1248,LFPG,CYUL,ACA875   ,Z,A333   ,Z  ,CGEFA    ,,240320,AA57062176,,,,,,,C04FBB,,ACA875,IS ,A333/H,SDE3FGHIJ4J5M1P2RWXYZ/LB1D1 ,LFPG0830 ,N0473F340 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT GAPLI/M083F340 DCT SOMAX/M083F340 NATF JOOPY/N0486F380 N280A MIILS DCT ODBOS OMBRE2 ,CYUL0725 KBOS ,"CODE/C04FBB DAT/CPDLCX 1FANS2PDC DOF/240320 EET/EGTT0043 EGGX0102 CZQX0301 CZQM0607 KZBW0648 CZUL0703 SOMAX0138 50N020W0206 50N040W0359 49N050W0506 JOOPY0519 NAV/RNP2 ORGN/CYYZACAW PER/D RALT/EINN CYYR REG/CGEFA RMK/TCAS SEL/ABFQ SUR/2
",CDG,False,908.0,C04FE4,A333
0097,F,1832,LFPO,LEMD,AEA72YH  ,Z,B738   ,Z  ,ECNLK    ,,240320,AA57047750,,,,,,,346516,,AEA72YH,IS ,B738/M,DFGHIJ1LORVWY/LB1 ,LFPO1825 ,N0444F370 AGOPA DCT ARKIP DCT ARMAL DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT VAVIX DCT NETUK UN857 PPN DCT NOLSA DCT ALEPO DCT VASUM DCT GARVU DCT BANEV ,LEMD0138 LEVC ,"CODE/4CAABD DOF/240320 EET/LECM0101 OPR/LAV ORGN/KALBLAVD PER/C REG/ECNLK RMK/TCAS EQUIPPED +TERMINALARR T123 OFP 1565 SEL/CKER TALT/LFPG)
",ORL,False,1839.0,3451CF,B788
0101,F,1102,LFPO,LEMD,AEA78NF  ,Z,B789   ,Z  ,ECNGN    ,,240320,AA57059209,,,,,,,346385,,AEA78NF,IS ,B789/H,SDE3FGHIJ1J2J4J5M1P2RWXYZ/LB2D1 ,LFPO0955 ,N0471F410 AGOPA DCT ARKIP DCT ARMAL DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT VAVIX DCT NETUK UN857 BANEV ,LEMD0138 LEVC ,"CODE/346385 DAT/1FANS2PDC DOF/240320 EET/LECM0056 NAV/RNP2 OPR/AEA ORGN/EDDFAEAX PER/D REG/ECNGN RMK/TCAS CPY LEPAAEAO CONTACT 0034971178281 RVR/075 SEL/APJS SUR/260B RSP180 CANMANDATE)
",ORL,False,1002.0,347306,B738
0109,F,1631,LFPO,LEMD,AEA99QP  ,Z,B738   ,Z  ,ECLXV    ,,240320,AA57064144,,,,,,,344487,,AEA99QP,IS ,B738/M,SDFGHIJ1RWXY/LB1 ,LFPO1615 ,N0438F350 AGOPA DCT ARKIP DCT ARMAL/N0440F390 DCT ARTAX DCT BEBIX DCT LMG DCT UVELI DCT OSMOB DCT ARVID DCT PPN DCT NOLSA DCT ALEPO DCT VASUM DCT GARVU DCT BANEV ,LEMD0141 LEVC ,"CODE/344487 DOF/240320 EET/LECM0101 NAV/RNP2 OPR/AEA ORGN/EDDFAEAX PER/C REG/ECLXV RMK/TCAS CPY LEPAAEAO CONTACT 0034971178281 RVR/175 SEL/FQDL SUR/260B)
",ORL,False,1714.0,345215,B738
0117,F,1957,LFPG,LGAV,AEE615   ,Z,A20N   ,Z  ,SXNEJ    ,,240320,AA57063546,,,,,,,46B8AA,,AEE615,IS ,A20N/M,SCDE2FGHIJ1LORUVWY/SB1 ,LFPG1930 ,N0438F390 LANVI DCT BEGAR DCT TRA DCT SUXAN DCT BADOP DCT PEVAL DCT ZDA DCT SPL DCT VAKSU DCT KOFER DCT PINDO DCT PIKOS UL607 XORKI ,LGAV0236 LGIR ,"CODE/46B8AA DOF/240320 EET/EDUU0032 LSAS0036 LOVV0044 LSAS0045 LIMM0051 LDZO0107 LYBA0146 LAAA0151 LGGG0204 OPR/AEE ORGN/EDDFAEEX PER/C REG/SXNEJ RMK/AEE OPS 00302103550144 145 RVR/075 SEL/JSGK)
",CDG,False,2016.0,46B8A8,A20N
0119,F,1129,LFPG,LGAV,AEE61PG  ,Z,A21N   ,Z  ,SXNAL    ,,240320,AA57052459,,,,,,,46B82C,,AEE61PG,IS ,A21N/M,SDE2FGIJ1RWY/SB1 ,LFPG1055 ,N0444F350 LANVI DCT BEGAR DCT ELMUR DCT RESIA DCT LABIN DCT LASDU DCT KOFER DCT PINDO DCT PIKOS DCT SIGFO UM749 ROPOX ,LGAV0238 LGSR ,"CODE/46B82C DOF/240320 EET/EDUU0032 LSAS0035 LIMM0049 LDZO0108 LYBA0146 LAAA0151 LGGG0204 OPR/AEE ORGN/EDDFAEEX PER/C REG/SXNAL RMK/TCAS AEE OPS 00302103550144 145 RVR/075 SEL/PRCF TALT/LFPO)
",CDG,False,1116.0,46B8A8,A20N
0142,F,1415,LFLU,LFLU,AFM01    ,Z,PA44   ,Z  ,FHYPO    ,,240320,AA57073181,,,,,,,39E1EE,,AFM01,IX ,PA44/L,SDGRY/SB2 ,LFLU1415 ,N0135F050 ROMAM ,LFLU0013 ,"DOF/240320 IFP/MODESASP OPR/AEROSPEED ORGN/KSTPXAAP REG/FHYPO RMK/CREW CONTACT +33674700280 STAY 2 APPROACH FILED VIA  AUTOROUTER.AERO RVR/550)
",LYON,False,936.0,3920A4,P28R
0143,F,1222,LFML,LFLU,AFM03    ,Z,PA44   ,Z  ,FHYPO    ,,240320,AA57070498,,,,,,,      ,,AFM03,IG ,PA44/L,SDGRY/SB2 ,LFML1215 ,N0141F080 MTL ,LFLU0041 LFLS ,"DOF/240320 IFP/MODESASP OPR/AEROSPEED ORGN/KSTPXAAP REG/FHYPO RMK/CREW CONTACT +33674700280 FILED VIA AUTOROUTER.AERO RVR/550)
",MARS,,nan,nan,
0144,F,955,LFPG,KJFK,AFR004   ,Z,B77W   ,Z  ,FGSQJ    ,,240320,AA57063270,,,,,,,394A09,,AFR004,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG0930 ,N0478F340 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT LESLU/N0479F360 DCT LIMRI/M083F370 NATC TUDEP/N0488F380 N398A TOPPS DCT ENE PARCH3 ,KJFK0745 KEWR ,"CODE/394A09 DAT/CPDLCX 1FANSP2PDC DOF/240320 EET/EGTT0040 EISN0102 EGGX0139 CZQX0303 CZQM0604 KZBW0645 52N020W0206 52N040W0403 52N050W0456 TUDEP0515 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI PER/D RALT/EINN CYYR REG/FGSQJ RMK/ACAS TCAS RVR/075 S
",CDG,False,945.0,394A00,B77W
0145,F,1551,LFPG,KJFK,AFR008   ,Z,B77W   ,Z  ,FGSQB    ,,240320,AA57072850,,,,,,,394A01,,AFR008,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1530 ,N0474F360 EVX UT300 SENLO UN502 JSY DCT LIZAD DCT GAPLI/M083F360 DCT KOGAD/M083F360 DCT 49N020W 49N030W/M084F380 49N040W 48N050W DCT NICSO/N0488F380 N228A TUSKY DCT PLYMM PARCH3 ,KJFK0745 KEWR ,"CODE/394A01 DAT/CPDLCX 1FANSP2PDC DOF/240320 EET/EGTT0041 EGGX0100 CZQX0256 CZQM0546 KZBW0646 KZNY0740 KOGAD0135 49N020W0201 49N040W0355 48N050W0459 NICSO0511 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI
",CDG,False,1541.0,394A14,B77W
0147,F,1752,LFPG,KJFK,AFR010   ,Z,A359   ,Z  ,FHUVG    ,,240320,AA57073632,,,,,,,39D2A6,,AFR010,IS ,A359/H,SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG1730 ,N0483F380 EVX UT300 SENLO UN502 JSY DCT MUREL DCT LARLA DCT RATKA/M085F380 DCT OMOKO/M085F380 DCT 48N015W 48N020W 48N030W/M085F400 49N040W 49N050W DCT JOOPY/N0499F400 N276C TUSKY DCT PLYMM PARCH3 ,KJFK0735 KEWR ,"CODE/39D2A6 DAT/1FANSE2PDC DOF/240320 EET/EGTT0047 EGGX0059 CZQX0255 CZQM0542 KZBW0639 KZNY0732 OMOKO0119 48N015W0134 48N020W0200 49N040W0354 49N050W0451 JOOPY0503
",CDG,False,1742.0,39D2A5,A359
0149,F,1143,LFPG,KEWR,AFR062   ,Z,A359   ,Z  ,FHUVB    ,,240320,AA57065985,,,,,,,39D2A1,,AFR062,IS ,A359/H,SABDE2E3GHIJ1J2J3J4J5M1P2RWXYZ/LB1D1 ,LFPG1120 ,N0482F380 EVX UT300 SENLO/N0481F400 UN502 JSY DCT LIZAD DCT ARKIL DCT LIMRI/M085F390 NATC TUDEP/N0500F400 N398A TOPPS DCT HANAA FLOSI4 ,KEWR0736 KPHL ,"CODE/39D2A1 DAT/1FANSE2PDC DOF/240320 EET/EGTT0041 EGGX0101 EISN0109 EGGX0137 CZQX0259 CZQM0552 KZBW0632 KZNY0730 52N020W0204 52N040W0355 52N050W0446 TUDEP0504 NAV/RNP2 OPR/AFR ORGN/LFBOAFMI PER/C RALT/EINN CYYT REG/FHUVB RMK
",CDG,False,1137.0,39CF04,A359
0151,F,939,LFPG,KLAX,AFR066   ,Z,B77W   ,Z  ,FGSQL    ,,240320,AA57063269,,,,,,,394A0B,,AFR066,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG0915 ,N0483F300 ATREX UT225 VESAN UL613 SOVAT/N0481F320 L613 TLA DCT STN/N0482F340 DCT BARKU/M083F340 DCT RATSU/M083F340 DCT 64N020W 67N030W 68N040W 68N050W DCT DARUB/N0475F340 DCT 6530N07000W/N0479F360 6330N08000W 6030N09000W DCT YTH DCT YDR DCT MLS/N0470F380 DCT BOY DCT MLF DCT WINEN DCT LAKRR Q98 HAKMN ANJLL4 ,KLAX1040 KONT ,"CODE/394A0B DAT/CPDLCX 1FANSP2PDC DOF/240320 EET/EGTT0018 E
",CDG,False,958.0,394A05,B77W
0153,F,1307,LFPG,KLAX,AFR072   ,Z,B77W   ,Z  ,FGZND    ,,240320,AA57068606,,,,,,,3965A3,,AFR072,IS ,B77W/H,SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1 ,LFPG1230 ,N0480F300 ATREX UT225 VESAN UL613 SOVAT/N0480F320 L613 TLA/N0481F340 DCT BARKU/M083F340 DCT RATSU/M083F340 DCT 64N020W 66N030W 67N040W 67N050W/N0482F360 DCT EPMAN DCT 65N070W 63N080W 60N090W DCT YTH/N0483F380 DCT YDR DCT MLS DCT BOY DCT KU69Q DCT MLF J107 BERYL DCT GUNTR Q73 HAKMN ANJLL4 ,KLAX1051 KONT ,"CODE/3965A3 DAT/CPDLCX 1FANSP2PDC DOF/240320 EET/EGTT0018 EGPX0056 BIRD0157 BG
",CDG,False,1304.0,394A02,B77W
